,Time,User,Key/Agent,Message
0,2020-05-24 10:38:02,shukrithis-ubuntu,gdm-password],' gkr-pam: unlocked login keyring\n'
1,2020-05-24 10:40:17,shukrithis-ubuntu,PackageKit,' uid 1000 is trying to obtain org.freedesktop.packagekit.system-sources-refresh auth (only_trusted:0)\n'
2,2020-05-24 10:40:17,shukrithis-ubuntu,PackageKit,' uid 1000 obtained auth for org.freedesktop.packagekit.system-sources-refresh\n'
3,2020-05-24 10:40:30,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
4,2020-05-24 10:40:30,shukrithis-ubuntu,pkexec[32655],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/update-notifier/package-system-locked]\n'
5,2020-05-24 10:41:29,shukrithis-ubuntu,sudo,' Shukrithi : TTY=pts/2 ; PWD=/home/Shukrithi ; USER=root ; COMMAND=/usr/bin/vi /etc/resolv.conf\n'
6,2020-05-24 10:41:29,shukrithis-ubuntu,sudo,' pam_unix(sudo:session): session opened for user root by (uid=0)\n'
7,2020-05-24 10:41:38,shukrithis-ubuntu,sudo,' pam_unix(sudo:session): session closed for user root\n'
8,2020-05-24 10:42:30,shukrithis-ubuntu,polkitd(authority=local),"' Unregistered Authentication Agent for unix-session:3 (system bus name :1.297, object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_IN) (disconnected from bus)\n'"
9,2020-05-24 10:42:31,shukrithis-ubuntu,systemd-logind[973],' System is rebooting.\n'
10,2020-05-24 10:43:44,shukrithis-ubuntu,systemd-logind[999],' New seat seat0.\n'
11,2020-05-24 10:43:44,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event3 (Power Button)\n'
12,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event1 (Power Button)\n'
13,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event0 (Lid Switch)\n'
14,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event2 (Sleep Button)\n'
15,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard)\n'
16,2020-05-24 10:43:50,shukrithis-ubuntu,sshd[1178],' Server listening on 0.0.0.0 port 22.\n'
17,2020-05-24 10:43:50,shukrithis-ubuntu,sshd[1178],' Server listening on :: port 22.\n'
18,2020-05-24 10:43:58,shukrithis-ubuntu,gdm-launch-environment],' pam_unix(gdm-launch-environment:session): session opened for user gdm by (uid=0)\n'
19,2020-05-24 10:43:58,shukrithis-ubuntu,systemd-logind[999],' New session c1 of user gdm.\n'
20,2020-05-24 10:43:59,shukrithis-ubuntu,systemd,' pam_unix(systemd-user:session): session opened for user gdm by (uid=0)\n'
21,2020-05-24 10:44:11,shukrithis-ubuntu,gnome-keyring-daemon[1417],""" couldn't access control socket: /run/user/121/keyring/control: No such file or directory\n"""
22,2020-05-24 10:44:11,shukrithis-ubuntu,gnome-keyring-daemon[1416],""" couldn't access control socket: /run/user/121/keyring/control: No such file or directory\n"""
23,2020-05-24 10:44:49,shukrithis-ubuntu,polkitd(authority=local),"' Registered Authentication Agent for unix-session:c1 (system bus name :1.45 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_IN)\n'"
24,2020-05-24 10:45:42,shukrithis-ubuntu,gdm-password],' gkr-pam: unable to locate daemon control file\n'
25,2020-05-24 10:45:42,shukrithis-ubuntu,gdm-password],' pam_unix(gdm-password:session): session opened for user Shukrithi by (uid=0)\n'
26,2020-05-24 10:45:43,shukrithis-ubuntu,systemd-logind[999],' New session 2 of user Shukrithi.\n'
27,2020-05-24 10:45:43,shukrithis-ubuntu,systemd,' pam_unix(systemd-user:session): session opened for user Shukrithi by (uid=0)\n'
28,2020-05-24 10:45:48,shukrithis-ubuntu,gnome-keyring-daemon[2750],' The PKCS#11 component was already initialized\n'
29,2020-05-24 10:45:48,shukrithis-ubuntu,gnome-keyring-daemon[2750],' The Secret Service was already initialized\n'
30,2020-05-24 10:45:51,shukrithis-ubuntu,polkitd(authority=local),"' Registered Authentication Agent for unix-session:2 (system bus name :1.372 [/usr/bin/gnome-shell], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_IN)\n'"
31,2020-05-24 10:46:00,shukrithis-ubuntu,gdm-launch-environment],' pam_unix(gdm-launch-environment:session): session closed for user gdm\n'
32,2020-05-24 10:46:01,shukrithis-ubuntu,systemd-logind[999],' Session c1 logged out. Waiting for processes to exit.\n'
33,2020-05-24 10:46:01,shukrithis-ubuntu,systemd-logind[999],' Removed session c1.\n'
34,2020-05-24 10:46:01,shukrithis-ubuntu,polkitd(authority=local),"' Unregistered Authentication Agent for unix-session:c1 (system bus name :1.45, object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale en_IN) (disconnected from bus)\n'"
35,2020-05-24 10:47:10,shukrithis-ubuntu,PackageKit,' uid 1000 is trying to obtain org.freedesktop.packagekit.system-sources-refresh auth (only_trusted:0)\n'
36,2020-05-24 10:47:10,shukrithis-ubuntu,PackageKit,' uid 1000 obtained auth for org.freedesktop.packagekit.system-sources-refresh\n'
37,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
38,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4692],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 1559]\n'
39,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
40,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4696],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 446]\n'
41,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
42,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4699],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 75]\n'
43,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
44,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4702],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 75]\n'
45,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
46,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4705],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 75]\n'
47,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
48,2020-05-24 10:48:22,shukrithis-ubuntu,pkexec[4708],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/gnome-settings-daemon/gsd-backlight-helper /sys/devices/pci0000:00/0000:00:02.0/drm/card0/card0-eDP-1/intel_backlight 75]\n'
49,2020-05-24 10:49:58,shukrithis-ubuntu,pkexec,' pam_unix(polkit-1:session): session opened for user root by (uid=1000)\n'
50,2020-05-24 10:49:58,shukrithis-ubuntu,pkexec[5107],' Shukrithi: Executing command [USER=root] [TTY=unknown] [CWD=/home/Shukrithi] [COMMAND=/usr/lib/update-notifier/package-system-locked]\n'
51,2020-05-24 11:02:03,shukrithis-ubuntu,gdm-password],' pam_unix(gdm-password:auth): authentication failure; logname= uid=0 euid=0 tty=/dev/tty1 ruser= rhost=  user=Shukrithi\n'
52,2020-05-24 11:02:14,shukrithis-ubuntu,gdm-password],' gkr-pam: unlocked login keyring\n'
53,2020-05-24 11:17:01,shukrithis-ubuntu,CRON[5868],' pam_unix(cron:session): session opened for user root by (uid=0)\n'
54,2020-05-24 11:17:01,shukrithis-ubuntu,CRON[5868],' pam_unix(cron:session): session closed for user root\n'
55,2020-05-24 11:30:01,shukrithis-ubuntu,CRON[6118],' pam_unix(cron:session): session opened for user root by (uid=0)\n'
56,2020-05-24 11:30:01,shukrithis-ubuntu,CRON[6118],' pam_unix(cron:session): session closed for user root\n'
57,2020-05-24 12:17:01,shukrithis-ubuntu,CRON[8560],' pam_unix(cron:session): session opened for user root by (uid=0)\n'
58,2020-05-24 12:17:01,shukrithis-ubuntu,CRON[8560],' pam_unix(cron:session): session closed for user root\n'
