,Time,User,Key/Agent,Message
0,2020-05-24 10:42:31,shukrithis-ubuntu,systemd-logind[973],' System is rebooting.\n'
1,2020-05-24 10:43:44,shukrithis-ubuntu,systemd-logind[999],' New seat seat0.\n'
2,2020-05-24 10:43:44,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event3 (Power Button)\n'
3,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event1 (Power Button)\n'
4,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event0 (Lid Switch)\n'
5,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event2 (Sleep Button)\n'
6,2020-05-24 10:43:37,shukrithis-ubuntu,systemd-logind[999],' Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard)\n'
7,2020-05-24 10:43:58,shukrithis-ubuntu,systemd-logind[999],' New session c1 of user gdm.\n'
8,2020-05-24 10:45:43,shukrithis-ubuntu,systemd-logind[999],' New session 2 of user Shukrithi.\n'
9,2020-05-24 10:46:01,shukrithis-ubuntu,systemd-logind[999],' Session c1 logged out. Waiting for processes to exit.\n'
10,2020-05-24 10:46:01,shukrithis-ubuntu,systemd-logind[999],' Removed session c1.\n'
11,2020-05-24 13:33:42,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
12,2020-05-24 17:19:06,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
13,2020-05-25 09:41:24,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
14,2020-05-25 11:44:26,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
15,2020-05-25 21:16:53,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
16,2020-05-25 23:51:29,shukrithis-ubuntu,systemd-logind[999],' Lid closed.\n'
17,2020-05-25 23:51:29,shukrithis-ubuntu,systemd-logind[999],' Suspending...\n'
18,2020-05-26 07:46:17,shukrithis-ubuntu,systemd-logind[999],' Lid opened.\n'
19,2020-05-26 07:46:17,shukrithis-ubuntu,systemd-logind[999],""" Operation 'sleep' finished.\n"""
20,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' New seat seat0.\n'
21,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event3 (Power Button)\n'
22,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event1 (Power Button)\n'
23,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event0 (Lid Switch)\n'
24,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event2 (Sleep Button)\n'
25,2020-05-26 13:09:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event4 (AT Translated Set 2 keyboard)\n'
26,2020-05-26 13:10:12,shukrithis-ubuntu,systemd-logind[966],' New session c1 of user gdm.\n'
27,2020-05-26 13:13:05,shukrithis-ubuntu,systemd-logind[966],' New session 2 of user Shukrithi.\n'
28,2020-05-26 13:13:25,shukrithis-ubuntu,systemd-logind[966],' Session c1 logged out. Waiting for processes to exit.\n'
29,2020-05-26 13:13:25,shukrithis-ubuntu,systemd-logind[966],' Removed session c1.\n'
30,2020-05-26 22:03:07,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event17 (Logitech K360)\n'
31,2020-05-26 23:11:55,shukrithis-ubuntu,systemd-logind[966],' Watching system buttons on /dev/input/event7 (40:EF:4C:B7:55:1C)\n'
32,2020-05-26 23:49:34,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
33,2020-05-26 23:49:34,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
34,2020-05-27 08:49:13,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
35,2020-05-27 08:49:14,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
36,2020-05-27 15:36:51,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
37,2020-05-27 21:31:43,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
38,2020-05-27 21:31:43,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
39,2020-05-27 21:34:38,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
40,2020-05-27 21:34:39,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
41,2020-05-27 21:56:11,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
42,2020-05-27 21:56:11,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
43,2020-05-27 22:08:53,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
44,2020-05-27 22:08:54,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
45,2020-05-27 22:49:21,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
46,2020-05-27 22:49:21,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
47,2020-05-27 22:53:24,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
48,2020-05-27 22:53:24,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
49,2020-05-27 23:36:49,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
50,2020-05-27 23:36:49,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
51,2020-05-28 08:00:49,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
52,2020-05-28 08:00:49,shukrithis-ubuntu,systemd-logind[966],""" Operation 'sleep' finished.\n"""
53,2020-05-28 12:04:10,shukrithis-ubuntu,systemd-logind[966],' Lid closed.\n'
54,2020-05-28 12:04:15,shukrithis-ubuntu,systemd-logind[966],' Suspending...\n'
55,2020-05-28 12:04:49,shukrithis-ubuntu,systemd-logind[966],' Lid opened.\n'
56,2020-05-28 12:09:14,shukrithis-ubuntu,systemd-logind[985],' New seat seat0.\n'
