,Time,User,Key/Agent,Message
0,2020-05-24 10:42:30,shukrithis-ubuntu,kernel,' [110303.588301] dbus-daemon[2322]: segfault at 0 ip 00007f58c02f7e53 sp 00007ffe631d2648 error 6 in libdbus-1.so.3.19.10[7f58c02d5000+2d000]\n'
1,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [   10.393604] EXT4-fs (sda6): re-mounted. Opts: errors=remount-ro\n'
2,2020-05-24 17:56:04,shukrithis-ubuntu,kernel,"' [19561.293889] usb 1-1: device descriptor read/64, error -71\n'"
3,2020-05-24 17:56:05,shukrithis-ubuntu,kernel,"' [19561.669858] usb 1-1: device descriptor read/64, error -71\n'"
4,2020-05-24 17:56:05,shukrithis-ubuntu,kernel,"' [19562.313841] usb 1-1: device descriptor read/64, error -71\n'"
5,2020-05-24 17:56:06,shukrithis-ubuntu,kernel,"' [19562.689841] usb 1-1: device descriptor read/64, error -71\n'"
6,2020-05-24 17:56:06,shukrithis-ubuntu,kernel,"' [19563.481787] usb 1-1: device not accepting address 6, error -71\n'"
7,2020-05-24 17:56:07,shukrithis-ubuntu,kernel,"' [19564.165776] usb 1-1: device not accepting address 6, error -71\n'"
8,2020-05-25 22:09:52,shukrithis-ubuntu,kernel,"' [71970.961432] usb 1-1: device descriptor read/64, error -71\n'"
9,2020-05-25 22:09:52,shukrithis-ubuntu,kernel,"' [71971.337482] usb 1-1: device descriptor read/64, error -71\n'"
10,2020-05-25 22:09:53,shukrithis-ubuntu,kernel,"' [71971.981410] usb 1-1: device descriptor read/64, error -71\n'"
11,2020-05-25 22:09:53,shukrithis-ubuntu,kernel,"' [71972.361372] usb 1-1: device descriptor read/64, error -71\n'"
12,2020-05-25 22:09:54,shukrithis-ubuntu,kernel,"' [71973.157378] usb 1-1: device not accepting address 16, error -71\n'"
13,2020-05-25 22:09:55,shukrithis-ubuntu,kernel,"' [71973.849352] usb 1-1: device not accepting address 16, error -71\n'"
14,2020-05-25 23:12:58,shukrithis-ubuntu,kernel,"' [75756.858051] usb 1-1: device descriptor read/64, error -71\n'"
15,2020-05-25 23:12:58,shukrithis-ubuntu,kernel,"' [75757.234049] usb 1-1: device descriptor read/64, error -71\n'"
16,2020-05-25 23:12:59,shukrithis-ubuntu,kernel,"' [75757.878030] usb 1-1: device descriptor read/64, error -71\n'"
17,2020-05-25 23:12:59,shukrithis-ubuntu,kernel,"' [75758.258048] usb 1-1: device descriptor read/64, error -71\n'"
18,2020-05-25 23:13:00,shukrithis-ubuntu,kernel,"' [75759.049997] usb 1-1: device not accepting address 20, error -71\n'"
19,2020-05-25 23:13:00,shukrithis-ubuntu,kernel,"' [75759.737925] usb 1-1: device not accepting address 20, error -71\n'"
