,Time,User,Key/Agent,Message
0,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,"' [110145.790242] SGI XFS with ACLs, security attributes, realtime, no debug enabled\n'"
1,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,"' [110145.856387] JFS: nTxBlock = 8192, nTxLock = 65536\n'"
2,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110145.927231] ntfs: driver 2.1.32 [Flags: R/O MODULE].\n'
3,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.045952] QNX4 filesystem 0.2.3 registered.\n'
4,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.113634] wlp1s0: authenticate with 60:38:e0:6a:c9:ac\n'
5,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.116182] wlp1s0: send auth to 60:38:e0:6a:c9:ac (try 1/3)\n'
6,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.118143] wlp1s0: authenticated\n'
7,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.120909] wlp1s0: associate with 60:38:e0:6a:c9:ac (try 1/3)\n'
8,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.125245] wlp1s0: RX AssocResp from 60:38:e0:6a:c9:ac (capab=0x411 status=0 aid=1)\n'
9,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.128678] wlp1s0: associated\n'
10,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.141468] IPv6: ADDRCONF(NETDEV_CHANGE): wlp1s0: link becomes ready\n'
11,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.196851] raid6: avx2x4   gen()  5530 MB/s\n'
12,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.244822] raid6: avx2x4   xor() 13232 MB/s\n'
13,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.292823] raid6: avx2x2   gen() 24174 MB/s\n'
14,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.340820] raid6: avx2x2   xor() 15158 MB/s\n'
15,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.388819] raid6: avx2x1   gen() 20013 MB/s\n'
16,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.436818] raid6: avx2x1   xor() 14052 MB/s\n'
17,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.484821] raid6: sse2x4   gen() 11460 MB/s\n'
18,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.532817] raid6: sse2x4   xor()  7261 MB/s\n'
19,2020-05-24 10:39:53,shukrithis-ubuntu,kernel,' [110146.580815] raid6: sse2x2   gen()  9928 MB/s\n'
20,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.628819] raid6: sse2x2   xor()  6590 MB/s\n'
21,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.676812] raid6: sse2x1   gen()  8781 MB/s\n'
22,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.724815] raid6: sse2x1   xor()  5025 MB/s\n'
23,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.724816] raid6: using algorithm avx2x2 gen() 24174 MB/s\n'
24,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,"' [110146.724816] raid6: .... xor() 15158 MB/s, rmw enabled\n'"
25,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.724817] raid6: using avx2x2 recovery algorithm\n'
26,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,' [110146.791372] xor: automatically using best checksumming function   avx       \n'
27,2020-05-24 10:39:54,shukrithis-ubuntu,kernel,"' [110146.916760] Btrfs loaded, crc32c=crc32c-intel\n'"
28,2020-05-24 10:42:00,shukrithis-ubuntu,kernel,' [110273.452078] wlp1s0: deauthenticating from 60:38:e0:6a:c9:ac by local choice (Reason: 3=DEAUTH_LEAVING)\n'
29,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.657432] wlp1s0: authenticate with 60:38:e0:6a:c9:ae\n'
30,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.659956] wlp1s0: send auth to 60:38:e0:6a:c9:ae (try 1/3)\n'
31,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.660893] wlp1s0: authenticated\n'
32,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.661770] wlp1s0: associate with 60:38:e0:6a:c9:ae (try 1/3)\n'
33,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.662890] wlp1s0: RX AssocResp from 60:38:e0:6a:c9:ae (capab=0x411 status=0 aid=2)\n'
34,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.663478] wlp1s0: associated\n'
35,2020-05-24 10:42:01,shukrithis-ubuntu,kernel,' [110273.667204] IPv6: ADDRCONF(NETDEV_CHANGE): wlp1s0: link becomes ready\n'
36,2020-05-24 10:42:29,shukrithis-ubuntu,kernel,' [110302.461609] rfkill: input handler enabled\n'
37,2020-05-24 10:42:30,shukrithis-ubuntu,kernel,' [110303.588301] dbus-daemon[2322]: segfault at 0 ip 00007f58c02f7e53 sp 00007ffe631d2648 error 6 in libdbus-1.so.3.19.10[7f58c02d5000+2d000]\n'
38,2020-05-24 10:42:30,shukrithis-ubuntu,kernel,' [110303.588308] Code: 89 12 48 89 52 08 48 89 17 c3 0f 1f 44 00 00 48 89 d6 e9 80 fe ff ff 48 8b 46 08 48 39 f0 74 47 48 8b 16 48 89 42 08 48 8b 16 <48> 89 10 48 39 37 74 15 48 c7 46 08 00 00 00 00 48 c7 06 00 00 00\n'
39,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,"' [    0.000000] microcode: microcode updated early to revision 0xd6, date = 2019-10-03\n'"
40,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] Linux version 5.3.0-53-generic (buildd@lcy01-amd64-011) (gcc version 9.2.1 20191008 (Ubuntu 9.2.1-9ubuntu2)) #47-Ubuntu SMP Thu May 7 12:18:16 UTC 2020 (Ubuntu 5.3.0-53.47-generic 5.3.18)\n'
41,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] Command line: BOOT_IMAGE=/boot/vmlinuz-5.3.0-53-generic root=UUID=4aae6737-643c-4523-9e3a-c680955a2760 ro\n'
42,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] KERNEL supported cpus:\n'
43,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000]   Intel GenuineIntel\n'
44,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000]   AMD AuthenticAMD\n'
45,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000]   Hygon HygonGenuine\n'
46,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000]   Centaur CentaurHauls\n'
47,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000]   zhaoxin   Shanghai  \n'
48,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers'\n"""
49,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers'\n"""
50,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers'\n"""
51,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers'\n"""
52,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Supporting XSAVE feature 0x010: 'MPX CSR'\n"""
53,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,"' [    0.000000] x86/fpu: xstate_offset[2]:  576, xstate_sizes[2]:  256\n'"
54,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,"' [    0.000000] x86/fpu: xstate_offset[3]:  832, xstate_sizes[3]:   64\n'"
55,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,"' [    0.000000] x86/fpu: xstate_offset[4]:  896, xstate_sizes[4]:   64\n'"
56,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,""" [    0.000000] x86/fpu: Enabled xstate features 0x1f, context size is 960 bytes, using 'compacted' format.\n"""
57,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-provided physical RAM map:\n'
58,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000000000000-0x0000000000057fff] usable\n'
59,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000000058000-0x0000000000058fff] reserved\n'
60,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000000059000-0x000000000009cfff] usable\n'
61,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000000009d000-0x000000000009ffff] reserved\n'
62,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000000100000-0x000000007a3d1fff] usable\n'
63,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000007a3d2000-0x000000007a3d2fff] ACPI NVS\n'
64,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000007a3d3000-0x000000007a3fcfff] reserved\n'
65,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000007a3fd000-0x000000007a45efff] usable\n'
66,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000007a45f000-0x000000007ac0efff] reserved\n'
67,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000007ac0f000-0x0000000086c25fff] usable\n'
68,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000086c26000-0x000000008763dfff] reserved\n'
69,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x000000008763e000-0x0000000087f98fff] ACPI NVS\n'
70,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000087f99000-0x0000000087ffdfff] ACPI data\n'
71,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000087ffe000-0x0000000087ffefff] usable\n'
72,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000088000000-0x00000000880fffff] reserved\n'
73,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x00000000e0000000-0x00000000efffffff] reserved\n'
74,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x00000000fe000000-0x00000000fe010fff] reserved\n'
75,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x00000000fec00000-0x00000000fec00fff] reserved\n'
76,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved\n'
77,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x00000000ff000000-0x00000000ffffffff] reserved\n'
78,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] BIOS-e820: [mem 0x0000000100000000-0x0000000272ffffff] usable\n'
79,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] NX (Execute Disable) protection: active\n'
80,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] e820: update [mem 0x7825e018-0x7826e057] usable ==> usable\n'
81,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] e820: update [mem 0x7825e018-0x7826e057] usable ==> usable\n'
82,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] e820: update [mem 0x78251018-0x7825d857] usable ==> usable\n'
83,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] e820: update [mem 0x78251018-0x7825d857] usable ==> usable\n'
84,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] extended physical RAM map:\n'
85,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x0000000000000000-0x0000000000057fff] usable\n'
86,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x0000000000058000-0x0000000000058fff] reserved\n'
87,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x0000000000059000-0x000000000009cfff] usable\n'
88,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x000000000009d000-0x000000000009ffff] reserved\n'
89,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x0000000000100000-0x0000000078251017] usable\n'
90,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x0000000078251018-0x000000007825d857] usable\n'
91,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x000000007825d858-0x000000007825e017] usable\n'
92,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x000000007825e018-0x000000007826e057] usable\n'
93,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x000000007826e058-0x000000007a3d1fff] usable\n'
94,2020-05-24 10:43:44,shukrithis-ubuntu,kernel,' [    0.000000] reserve setup_data: [mem 0x000000007a3d2000-0x000000007a3d2fff] ACPI NVS\n'
