reboot   system boot  5.3.0-53-generic Thu May 28 12:21   still running
reboot   system boot  5.3.0-53-generic Thu May 28 12:08 - 12:21  (00:12)
reboot   system boot  5.3.0-53-generic Tue May 26 13:09 - 12:21 (1+23:12)
reboot   system boot  5.3.0-53-generic Sun May 24 10:43 - 13:08 (2+02:25)
reboot   system boot  5.3.0-51-generic Thu May 21 17:16 - 10:42 (2+17:26)
reboot   system boot  5.3.0-51-generic Wed May 20 18:21 - 17:15  (22:54)
reboot   system boot  5.3.0-51-generic Sun May 17 08:52 - 18:20 (3+09:27)
reboot   system boot  5.3.0-51-generic Sat May 16 11:55 - 08:51  (20:56)
reboot   system boot  5.3.0-51-generic Tue May 12 17:36 - 11:54 (3+18:17)
reboot   system boot  5.3.0-51-generic Fri May  8 11:19 - 17:36 (4+06:16)
reboot   system boot  5.3.0-51-generic Thu May  7 22:17 - 17:36 (4+19:18)
reboot   system boot  5.3.0-51-generic Wed May  6 21:42 - 22:17 (1+00:34)
reboot   system boot  5.3.0-51-generic Wed May  6 16:56 - 22:17 (1+05:20)
reboot   system boot  5.3.0-51-generic Wed May  6 14:03 - 22:17 (1+08:13)
reboot   system boot  5.3.0-51-generic Wed May  6 10:49 - 22:17 (1+11:28)
reboot   system boot  5.3.0-51-generic Wed May  6 10:42 - 10:48  (00:05)
reboot   system boot  5.3.0-51-generic Mon May  4 18:29 - 23:36 (1+05:07)
reboot   system boot  5.3.0-46-generic Mon May  4 10:21 - 18:28  (08:07)
reboot   system boot  5.3.0-46-generic Wed Apr 29 10:10 - 10:20 (5+00:09)
reboot   system boot  5.3.0-46-generic Mon Apr 27 11:09 - 23:11 (1+12:01)
reboot   system boot  5.3.0-46-generic Sun Apr 26 20:32 - 23:06  (02:33)
reboot   system boot  5.3.0-46-generic Sun Apr 26 13:43 - 19:24  (05:41)
reboot   system boot  5.3.0-46-generic Sat Apr 25 17:00 - 23:09  (06:09)
reboot   system boot  5.3.0-46-generic Sat Apr 25 10:48 - 14:17  (03:28)
reboot   system boot  5.3.0-46-generic Fri Apr 24 09:30 - 01:08  (15:38)
reboot   system boot  5.3.0-46-generic Fri Apr 24 09:22 - 09:29  (00:06)
reboot   system boot  5.3.0-46-generic Thu Apr 23 09:03 - 23:52  (14:48)
reboot   system boot  5.3.0-46-generic Wed Apr 22 09:36 - 22:01  (12:25)
reboot   system boot  5.3.0-46-generic Tue Apr 21 09:24 - 23:07  (13:42)
reboot   system boot  5.3.0-46-generic Tue Apr 21 09:20 - 23:07  (13:47)
reboot   system boot  5.3.0-46-generic Mon Apr 20 09:37 - 23:07  (13:29)
reboot   system boot  5.3.0-46-generic Mon Apr 20 08:46 - 23:07  (14:20)
reboot   system boot  5.3.0-46-generic Sun Apr 19 11:17 - 00:01  (12:44)
