,Time,User,Key/Agent,Message
0,2020-05-29 06:49:51,shukrithis-ubuntu,gnome-shell[2561],""" Error setting property 'Powered' on interface org.bluez.Adapter1: GDBus.Error:org.bluez.Error.Blocked: Blocked through rfkill (g-io-error-quark, 36)\n"""
1,2020-05-29 06:52:09,shukrithis-ubuntu,systemd-resolved[916],"' Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.\n'"
2,2020-05-29 06:53:06,shukrithis-ubuntu,gnome-software[3058],"' internal error: failed, but no error code: cancelled-priority\n'"
3,2020-05-29 06:53:44,shukrithis-ubuntu,gnome-software[3058],' not handling error invalid-format for action refine: server returned no data\n'
4,2020-05-29 08:37:40,shukrithis-ubuntu,systemd-resolved[916],"' Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.\n'"
5,2020-05-29 08:52:49,shukrithis-ubuntu,kernel,"' [48891.764972] usb 1-1: device descriptor read/64, error -71\n'"
6,2020-05-29 08:52:50,shukrithis-ubuntu,kernel,"' [48892.141005] usb 1-1: device descriptor read/64, error -71\n'"
7,2020-05-29 08:52:50,shukrithis-ubuntu,kernel,"' [48892.784982] usb 1-1: device descriptor read/64, error -71\n'"
8,2020-05-29 08:52:51,shukrithis-ubuntu,kernel,"' [48893.161120] usb 1-1: device descriptor read/64, error -71\n'"
9,2020-05-29 09:05:46,shukrithis-ubuntu,systemd-resolved[916],"' Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.\n'"
10,2020-05-29 09:18:11,shukrithis-ubuntu,systemd-resolved[916],"' Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.\n'"
11,2020-05-29 10:19:04,shukrithis-ubuntu,gnome-shell[2561],' IPDL protocol error: Handler returned error code!\n'
12,2020-05-29 10:19:04,shukrithis-ubuntu,gnome-shell[2561],"' ###!!! [Parent][DispatchAsyncMessage] Error: PLayerTransaction::Msg_ReleaseLayer Processing error: message was deserialized, but the handler returned false (indicating failure)\n'"
