,Time,User,Key/Agent,Message
0,2020-05-29 00:00:18,shukrithis-ubuntu,dbus-daemon[2347],"' [session uid=1000 pid=2347] Activating via systemd: service name=\'org.freedesktop.Tracker1.Miner.Extract\' unit=\'tracker-extract.service\' requested by \':1.82\' (uid=1000 pid=2746 comm=""/usr/lib/tracker/tracker-miner-fs "" label=""unconfined"")\n'"
1,2020-05-29 00:00:18,shukrithis-ubuntu,systemd[2318],' Starting Tracker metadata extractor...\n'
2,2020-05-29 00:00:18,shukrithis-ubuntu,systemd[2318],' Started Tracker metadata extractor.\n'
3,2020-05-29 00:00:28,shukrithis-ubuntu,systemd[2318],' tracker-extract.service: Succeeded.\n'
4,2020-05-29 00:00:30,shukrithis-ubuntu,dbus-daemon[2347],"' [session uid=1000 pid=2347] Activating via systemd: service name=\'org.freedesktop.Tracker1.Miner.Extract\' unit=\'tracker-extract.service\' requested by \':1.82\' (uid=1000 pid=2746 comm=""/usr/lib/tracker/tracker-miner-fs "" label=""unconfined"")\n'"
5,2020-05-29 00:00:30,shukrithis-ubuntu,systemd[2318],' Starting Tracker metadata extractor...\n'
6,2020-05-29 00:00:30,shukrithis-ubuntu,systemd[2318],' Started Tracker metadata extractor.\n'
7,2020-05-29 00:00:40,shukrithis-ubuntu,systemd[2318],' tracker-extract.service: Succeeded.\n'
8,2020-05-29 00:00:45,shukrithis-ubuntu,dbus-daemon[2347],"' [session uid=1000 pid=2347] Activating via systemd: service name=\'org.freedesktop.Tracker1.Miner.Extract\' unit=\'tracker-extract.service\' requested by \':1.82\' (uid=1000 pid=2746 comm=""/usr/lib/tracker/tracker-miner-fs "" label=""unconfined"")\n'"
9,2020-05-29 00:00:45,shukrithis-ubuntu,systemd[2318],' Starting Tracker metadata extractor...\n'
10,2020-05-29 00:00:45,shukrithis-ubuntu,systemd[2318],' Started Tracker metadata extractor.\n'
11,2020-05-29 00:00:55,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.hostname1\' unit=\'dbus-org.freedesktop.hostname1.service\' requested by \':1.1495\' (uid=1000 pid=20281 comm=""/usr/lib/firefox/firefox -new-window "" label=""unconfined"")\n'"
12,2020-05-29 00:00:55,shukrithis-ubuntu,systemd[1],' Starting Hostname Service...\n'
13,2020-05-29 00:00:55,shukrithis-ubuntu,systemd[2318],' tracker-extract.service: Succeeded.\n'
14,2020-05-29 00:00:55,shukrithis-ubuntu,systemd[1],' Started Hostname Service.\n'
15,2020-05-29 00:01:15,shukrithis-ubuntu,systemd[2318],' tracker-store.service: Succeeded.\n'
16,2020-05-29 00:01:44,shukrithis-ubuntu,systemd[1],' systemd-hostnamed.service: Succeeded.\n'
17,2020-05-29 00:01:44,shukrithis-ubuntu,dbus-daemon[2347],"' [session uid=1000 pid=2347] Activating via systemd: service name=\'org.freedesktop.Tracker1\' unit=\'tracker-store.service\' requested by \':1.82\' (uid=1000 pid=2746 comm=""/usr/lib/tracker/tracker-miner-fs "" label=""unconfined"")\n'"
18,2020-05-29 00:01:44,shukrithis-ubuntu,systemd[2318],' Starting Tracker metadata database store and lookup manager...\n'
19,2020-05-29 00:01:44,shukrithis-ubuntu,systemd[2318],' Started Tracker metadata database store and lookup manager.\n'
20,2020-05-29 00:02:15,shukrithis-ubuntu,systemd[2318],' tracker-store.service: Succeeded.\n'
21,2020-05-29 00:03:12,shukrithis-ubuntu,systemd-resolved[916],' Using degraded feature set (UDP) for DNS server 172.16.2.2.\n'
22,2020-05-29 00:04:04,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.nm_dispatcher\' unit=\'dbus-org.freedesktop.nm-dispatcher.service\' requested by \':1.12\' (uid=0 pid=1012 comm=""/usr/sbin/NetworkManager --no-daemon "" label=""unconfined"")\n'"
23,2020-05-29 00:04:04,shukrithis-ubuntu,systemd[1],' Starting Network Manager Script Dispatcher Service...\n'
24,2020-05-29 00:04:04,shukrithis-ubuntu,systemd[1],' Started Network Manager Script Dispatcher Service.\n'
